timestamp (UTC+1),PM2.5 nom,PM10 nom,humidity_percent,pm10_ugm3,PM10 Avg,pm25_ugm3,PM2.5 Avg,temperature_degC
2018-03-21 19:27:48,40,25,43,13.525,13.680834,6.275,6.2203341,14.1
2018-03-21 19:28:48,40,25,43,13.26167,13.839334,6.096668,6.2376674,14.1
2018-03-21 19:29:48,40,25,43.1,13,14.025,6.021667,6.2770005,14.1
2018-03-21 19:30:48,40,25,43.1,14.28833,13.963167,6.478336,6.2915004,14.1
2018-03-21 19:31:48,40,25,43.1,12.55667,13.859001,6.115004,6.2333333,14.1
2018-03-21 19:32:48,40,25,43.1,13.925,14.100001,6.016667,6.2593329,14.1
2018-03-21 19:33:48,40,25,43.2,14.58833,14.369668,6.359999,6.3498329,14.1
2018-03-21 19:34:48,40,25,43.2,14.335,14.431668,6.308334,6.3851664,14.1
2018-03-21 19:35:48,40,25,43.2,14.90667,14.277835,6.36,6.4173329,14.1
2018-03-21 19:36:48,40,25,43.1,12.42167,14.131501,6.171666,6.454333,14
2018-03-21 19:37:48,40,25,43.2,15.11,14.4805,6.448333,6.5468335,14
2018-03-21 19:38:48,40,25,43.2,15.11833,14.551333,6.489999,6.6080002,14
2018-03-21 19:39:48,40,25,43.2,12.38167,14.858,6.166666,6.6823335,14
2018-03-21 19:40:48,40,25,43.3,13.24667,15.4875,5.896665,6.8263339,14.1
2018-03-21 19:41:48,40,25,43.2,14.96667,15.9335,6.375,7.0081674,14
2018-03-21 19:42:48,40,25,43.2,16.62167,16.260166,6.921667,7.1635006,14
2018-03-21 19:43:48,40,25,43.3,15.20833,16.487832,6.713334,7.2726674,14.1
2018-03-21 19:44:48,40,25,43.3,12.79667,17.019999,6.629999,7.4093342,14
2018-03-21 19:45:48,40,25,43.3,13.44333,17.485332,6.730001,7.5208343,14
2018-03-21 19:46:48,40,25,43.3,15.91166,17.980332,7.096671,7.6380008,14
2018-03-21 19:47:48,40,25,43.4,15.81833,18.424166,7.06,7.7188338,14
2018-03-21 19:48:48,40,25,43.4,18.185,18.803666,7.233332,7.8106671,14
2018-03-21 19:49:48,40,25,43.4,18.67667,18.886333,7.60667,7.8761673,14
2018-03-21 19:50:48,40,25,43.4,17.70667,18.639333,7.715,7.8880005,14
2018-03-21 19:51:48,40,25,43.4,18.23333,18.6275,7.928332,7.925167,14
2018-03-21 19:52:48,40,25,43.4,18.89833,18.780001,8.013335,7.9243339,14
2018-03-21 19:53:48,40,25,43.5,20.53,18.817001,8.080002,7.9040003,14
2018-03-21 19:54:48,40,25,43.5,17.45,18.618334,7.745,7.8696671,14
2018-03-21 19:55:48,40,25,43.5,18.39333,18.769167,7.901666,7.8793338,14
2018-03-21 19:56:48,40,25,43.5,20.35,18.664001,7.905001,7.8498339,14
2018-03-21 19:57:48,40,25,43.6,19.61333,18.487001,7.978333,7.8456671,14
2018-03-21 19:58:48,40,25,43.5,19.01167,18.125001,7.888334,7.8175003,14
2018-03-21 19:59:48,40,25,43.6,16.20667,18.192001,7.725002,7.7996671,14
2018-03-21 20:00:48,40,25,43.6,17.58834,18.324001,8.086665,7.7700004,14
2018-03-21 20:01:48,40,25,43.6,19.75834,18.329501,7.920001,7.7056673,14
2018-03-21 20:02:48,40,25,43.6,19.26833,18.046167,7.809999,7.6341673,14
2018-03-21 20:03:48,40,25,43.6,18.54333,17.753834,7.73667,7.5800007,13.9
2018-03-21 20:04:48,40,25,43.6,18.95833,17.586167,7.841667,7.5460004,13.9
2018-03-21 20:05:48,40,25,43.6,17.34167,17.211667,7.606667,7.4470002,13.9
2018-03-21 20:06:48,40,25,43.6,18.58,16.938666,7.863333,7.3690002,13.9
2018-03-21 20:07:48,40,25,43.6,15.99333,16.635666,7.696665,7.2605001,13.9
2018-03-21 20:08:48,40,25,43.6,19.68167,16.438666,7.710002,7.1805003,13.9
2018-03-21 20:09:48,40,25,43.6,17.52667,16.140832,7.428335,7.1106668,13.9
2018-03-21 20:10:48,40,25,43.6,17.64334,15.869998,7.443334,7.0671667,13.9
2018-03-21 20:11:48,40,25,43.7,16.925,15.580497,7.205001,7.0255,13.9
2018-03-21 20:12:48,40,25,43.7,16.345,15.149997,7.268333,6.9725001,13.9
2018-03-21 20:13:48,40,25,43.7,16.86666,15.010664,7.396667,6.885667,13.9
2018-03-21 20:14:48,40,25,43.7,15.21333,14.910165,6.851665,6.8428336,13.9
2018-03-21 20:15:48,40,25,43.8,14.61166,14.943332,6.826667,6.8356673,13.9
